IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.24.150.51,4,4,0.00,172.36,599.57
172.67.104.171,4,4,0.00,172.19,592.49
104.25.46.55,4,4,0.00,172.51,587.51
104.24.45.41,4,4,0.00,172.65,578.28
104.17.150.216,4,4,0.00,172.27,327.13
104.17.22.44,4,4,0.00,172.45,313.55
104.18.8.48,4,4,0.00,172.83,312.32
104.20.215.113,4,4,0.00,172.79,311.01
104.17.105.95,4,4,0.00,172.75,308.94
104.17.4.192,4,4,0.00,172.74,306.25
104.20.58.196,4,4,0.00,172.37,299.80
104.18.168.194,4,4,0.00,172.85,299.74
104.16.164.64,4,4,0.00,172.54,299.54
104.18.105.210,4,4,0.00,172.22,299.37
104.16.173.184,4,4,0.00,172.20,293.09
141.101.114.126,4,4,0.00,172.51,290.29
104.25.140.119,4,4,0.00,172.53,287.62
172.64.83.16,4,4,0.00,172.67,285.68
104.25.222.135,4,4,0.00,172.43,277.35
104.22.69.105,4,4,0.00,172.56,275.92
104.16.19.214,4,4,0.00,172.81,274.86
173.245.58.123,4,4,0.00,172.22,263.70
104.20.17.198,4,4,0.00,172.56,217.02
104.24.148.206,4,4,0.00,164.72,112.45
104.24.224.89,4,4,0.00,156.15,102.30
104.18.161.109,4,4,0.00,165.88,102.24
104.16.83.77,4,4,0.00,157.65,102.08
104.23.118.254,4,4,0.00,167.17,102.08
172.64.229.177,4,4,0.00,163.29,101.90
104.27.78.186,4,4,0.00,166.12,101.89
104.20.47.44,4,4,0.00,166.13,101.71
104.25.206.194,4,4,0.00,166.28,101.47
104.21.234.37,4,4,0.00,172.02,100.70
104.22.2.236,4,4,0.00,157.75,100.37
104.19.3.148,4,4,0.00,164.50,100.28
104.17.161.22,4,4,0.00,170.76,100.12
104.23.126.245,4,4,0.00,172.28,100.08
104.27.63.153,4,4,0.00,172.11,99.93
104.22.51.238,4,4,0.00,164.62,99.66
104.27.111.230,4,4,0.00,171.21,99.60
104.16.225.128,4,4,0.00,164.72,99.54
104.18.138.8,4,4,0.00,173.72,99.54
104.18.171.8,4,4,0.00,171.16,99.47
104.20.153.151,4,4,0.00,163.75,99.43
104.16.17.170,4,4,0.00,163.60,99.42
104.16.252.209,4,4,0.00,166.18,99.39
104.16.135.150,4,4,0.00,166.42,99.32
104.16.195.141,4,4,0.00,164.64,99.30
104.16.4.239,4,4,0.00,164.80,99.27
104.19.204.143,4,4,0.00,170.70,99.24
104.16.204.39,4,4,0.00,163.87,99.21
104.25.188.151,4,4,0.00,166.03,99.14
104.17.122.184,4,4,0.00,171.43,99.12
104.17.201.246,4,4,0.00,165.03,99.10
